user_id,recipe_id,rating,timestamp
655,229,3.0,1782114496
282,502,4.0,1761914306
755,210,3.5,1777045831
433,66,3.0,1760376081
224,477,3.0,1776064450
204,1467,5.0,1764628950
460,1207,4.5,1784392170
7,1555,4.0,1780657861
433,697,4.5,1762449217
221,1961,4.5,1760661798
95,779,3.5,1769277540
353,1237,4.5,1784314921
45,1495,5.0,1775225020
128,1993,5.0,1759876286
566,601,4.5,1776604914
197,1443,3.5,1758769802
678,467,4.5,1759909565
239,1775,3.5,1769987110
285,929,4.5,1762689956
380,728,4.0,1779719538
274,1438,3.5,1777671235
651,351,4.0,1762715068
474,778,4.5,1788283166
656,1410,4.0,1780204033
333,1727,3.0,1764917768
33,1649,4.5,1770693047
275,136,4.0,1787871954
581,1795,4.5,1764366753
672,1023,5.0,1786917231
659,940,4.0,1766120094
143,506,4.5,1782297815
599,878,5.0,1769378776
225,284,5.0,1760282604
774,97,3.5,1762360694
643,328,5.0,1777244357
66,789,5.0,1777226888
480,1084,4.5,1775795371
12,1394,3.5,1780106595
550,1538,4.5,1783022084
657,697,3.5,1767080421
446,324,5.0,1757341085
740,1794,4.5,1774029073
781,366,3.5,1786441947
641,612,4.0,1762360625
383,1562,4.0,1775330747
798,1890,3.0,1777329436
332,1001,3.0,1760985848
372,1800,4.5,1765266877
60,494,3.5,1760106243
750,996,3.5,1782753764
546,1569,4.0,1761540293
676,974,4.0,1766126015
541,1787,5.0,1764338959
553,1547,4.0,1781154788
320,818,4.5,1771932390
530,925,3.5,1765550523
231,132,4.5,1757937983
603,1135,4.0,1776976964
226,15,3.5,1780983391
647,121,4.0,1759493770
33,1761,4.5,1759609769
527,488,4.5,1779679360
498,439,4.0,1781503875
585,1181,5.0,1765385825
485,1654,5.0,1763621287
97,199,5.0,1769120444
434,842,5.0,1786217742
747,111,3.5,1759266014
413,1492,4.5,1784095617
112,510,4.0,1763614542
550,919,4.0,1771388189
188,571,5.0,1765614304
78,908,3.5,1758929653
668,1108,3.0,1760361570
772,1739,4.0,1762812665
417,995,5.0,1764404360
411,1849,3.0,1762756496
389,5,5.0,1766130928
466,585,5.0,1780605923
749,1605,5.0,1762426310
195,608,4.0,1759194564
594,1507,3.0,1782330086
322,118,3.0,1776833938
489,1030,4.0,1759140752
521,165,4.0,1759531385
610,140,4.0,1770780650
123,1929,4.0,1776657491
609,82,3.5,1771299044
674,1196,4.5,1788595728
268,419,4.5,1765241162
272,811,4.0,1779770374
661,615,5.0,1767841337
770,1917,3.5,1757544765
470,1273,3.5,1759690412
551,437,4.5,1761676695
358,1805,3.5,1786735604
251,757,4.5,1762525296
449,1708,4.5,1777756690
670,1084,3.0,1779641961
568,614,3.5,1788737453
138,542,3.5,1787085995
110,1521,4.0,1766370680
289,1239,4.0,1781311260
352,417,4.5,1774190904
501,515,3.0,1760329213
650,868,4.5,1758711497
4,684,4.0,1778610168
269,331,5.0,1775743514
723,876,3.0,1760986055
78,1936,4.0,1775539163
37,1710,4.5,1776777968
